# Generated by tools/n64stack/frames.py export from build/eu/sm64.eu.elf. Functions on the
# N64's call paths to set_camera_mode, find_floor_from_list, bhv_jrb_sliding_box_loop, with their stack frame sizes.
game_loop_sp	0x802021b8
src/game/behavior_actions.c	big_boo_spawn_balcony_star	24
src/game/behavior_actions.c	big_boo_spawn_merry_go_round_star	24
src/game/behavior_actions.c	big_boo_act_3	24
src/game/behavior_actions.c	big_boo_act_4	48
src/game/behavior_actions.c	bhv_big_boo_loop	24
src/game/behavior_actions.c	boo_with_cage_act_3	24
src/game/behavior_actions.c	bhv_boo_with_cage_init	24
src/game/behavior_actions.c	bhv_boo_with_cage_loop	24
src/game/behavior_actions.c	bhv_merry_go_round_boo_manager_loop	24
src/game/behavior_actions.c	handle_merry_go_round_music	40
src/game/behavior_actions.c	bhv_merry_go_round_loop	24
src/game/behavior_actions.c	bhv_castle_floor_trap_init	40
src/game/behavior_actions.c	bhv_sparkle_spawn_loop	40
src/game/behavior_actions.c	bhv_scuttlebug_loop	32
src/game/behavior_actions.c	bhv_scuttlebug_spawn_loop	24
src/game/behavior_actions.c	king_whomp_on_ground	56
src/game/behavior_actions.c	whomp_on_ground	32
src/game/behavior_actions.c	whomp_on_ground_general	24
src/game/behavior_actions.c	whomp_die	24
src/game/behavior_actions.c	bhv_whomp_loop	24
src/game/behavior_actions.c	bhv_water_splash_spawn_droplets	40
src/game/behavior_actions.c	bhv_water_droplet_loop	48
src/game/behavior_actions.c	bhv_shallow_water_splash_init	24
src/game/behavior_actions.c	cur_obj_spawn_strong_wind_particles	56
src/game/behavior_actions.c	bhv_sl_snowman_wind_loop	64
src/game/behavior_actions.c	bhv_sl_walking_penguin_loop	32
src/game/camera.c	set_camera_height	88
src/game/camera.c	look_down_slopes	64
src/game/camera.c	update_radial_camera	96
src/game/camera.c	update_8_directions_camera	88
src/game/camera.c	mode_radial_camera	64
src/game/camera.c	mode_8_directions_camera	64
src/game/camera.c	update_outward_radial_camera	80
src/game/camera.c	mode_outward_radial_camera	48
src/game/camera.c	update_boss_fight_camera	152
src/game/camera.c	mode_boss_fight_camera	24
src/game/camera.c	mode_behind_mario	112
src/game/camera.c	update_slide_camera	96
src/game/camera.c	mode_behind_mario_camera	24
src/game/camera.c	mode_water_surface_camera	24
src/game/camera.c	update_default_camera	200
src/game/camera.c	mode_default_camera	24
src/game/camera.c	mode_lakitu_camera	24
src/game/camera.c	mode_mario_camera	24
src/game/camera.c	update_spiral_stairs_camera	104
src/game/camera.c	mode_spiral_stairs_camera	24
src/game/camera.c	mode_slide_camera	24
src/game/camera.c	exit_c_up	216
src/game/camera.c	mode_c_up_camera	48
src/game/camera.c	mode_cannon_camera	24
src/game/camera.c	set_camera_mode	40
src/game/camera.c	update_lakitu	112
src/game/camera.c	update_camera	32
src/game/camera.c	init_camera	64
src/game/camera.c	next_lakitu_state	168
src/game/camera.c	cam_castle_look_upstairs	32
src/game/camera.c	cam_castle_basement_look_downstairs	32
src/game/camera.c	camera_course_processing	128
src/game/camera.c	resolve_geometry_collisions	56
src/game/camera.c	find_mario_floor_and_ceil	48
src/game/camera.c	cutscene_ending_mario_fall	32
src/game/camera.c	cutscene_ending_stars_free_peach	32
src/game/camera.c	cutscene_ending_peach_appears	32
src/game/camera.c	cutscene_ending_peach_descends	40
src/game/camera.c	cutscene_ending_mario_to_peach	32
src/game/camera.c	cutscene_ending_peach_wakeup	48
src/game/camera.c	cutscene_ending_kiss	32
src/game/camera.c	cutscene_ending_cake_for_mario	32
src/game/camera.c	cutscene_grand_star	32
src/game/camera.c	cutscene_grand_star_fly	24
src/game/camera.c	cutscene_dance_default_rotate	32
src/game/camera.c	cutscene_dance_closeup	32
src/game/camera.c	cutscene_dance_fly_away	32
src/game/camera.c	cutscene_key_dance	32
src/game/camera.c	cutscene_bowser_arena_dialog	24
src/game/camera.c	cutscene_bowser_arena	32
src/game/camera.c	cutscene_star_spawn_update_boss_fight	56
src/game/camera.c	cutscene_star_spawn	24
src/game/camera.c	cutscene_star_spawn_back	24
src/game/camera.c	cutscene_exit_waterfall	24
src/game/camera.c	cutscene_exit_fall_to_castle_grounds	24
src/game/camera.c	cutscene_red_coin_star	32
src/game/camera.c	cutscene_prepare_cannon	24
src/game/camera.c	cutscene_death_standing	24
src/game/camera.c	cutscene_death_stomach	24
src/game/camera.c	cutscene_bbh_death	24
src/game/camera.c	cutscene_quicksand_death	24
src/game/camera.c	cutscene_suffocation	24
src/game/camera.c	cutscene_enter_pool	24
src/game/camera.c	cutscene_pyramid_top_explode	32
src/game/camera.c	cutscene_enter_pyramid_top	32
src/game/camera.c	cutscene_dialog	32
src/game/camera.c	cutscene_read_message	32
src/game/camera.c	cutscene_non_painting_set_cam_pos	56
src/game/camera.c	cutscene_exit_bowser_succ	32
src/game/camera.c	cutscene_exit_non_painting_succ	32
src/game/camera.c	cutscene_exit_bowser_death	24
src/game/camera.c	cutscene_non_painting_death	24
src/game/camera.c	cutscene_cap_switch_press	56
src/game/camera.c	cutscene_unlock_key_door	32
src/game/camera.c	cutscene_intro_peach_fly_to_pipe	32
src/game/camera.c	cutscene_intro_peach_mario_appears	32
src/game/camera.c	cutscene_intro_peach_letter	32
src/game/camera.c	cutscene_end_waving	24
src/game/camera.c	cutscene_credits	40
src/game/camera.c	cutscene_sliding_doors_open	32
src/game/camera.c	cutscene_enter_painting	104
src/game/camera.c	cutscene_exit_painting_start	40
src/game/camera.c	cutscene_exit_painting_move_to_floor	56
src/game/camera.c	cutscene_exit_painting	32
src/game/camera.c	cutscene_enter_cannon_raise	88
src/game/camera.c	cutscene_door_mode	32
src/game/camera.c	play_cutscene	56
src/game/camera.c	cutscene_event	24
src/game/camera.c	bhv_intro_lakitu_loop	120
src/game/camera.c	spawn_child_obj_relative	32
src/game/camera.c	bhv_intro_scene_loop	56
src/game/debug.c	print_mapinfo	48
src/game/debug.c	try_print_debug_mario_level_info	24
src/game/debug.c	try_do_mario_debug_object_spawn	40
src/game/envfx_bubbles.c	envfx_update_flower	112
src/game/envfx_bubbles.c	envfx_set_lava_bubble_position	48
src/game/envfx_bubbles.c	envfx_update_lava	56
src/game/envfx_bubbles.c	envfx_bubbles_update_switch	24
src/game/envfx_bubbles.c	envfx_update_bubble_particles	152
src/game/envfx_bubbles.c	envfx_update_bubbles	24
src/game/envfx_snow.c	envfx_update_particles	24
src/game/game_init.c	display_and_vsync	24
src/game/game_init.c	thread5_game_loop	56
src/game/interaction.c	mario_blow_off_cap	32
src/game/interaction.c	push_mario_out_of_object	80
src/game/interaction.c	take_damage_and_knock_back	40
src/game/interaction.c	reset_mario_pitch	24
src/game/interaction.c	interact_coin	24
src/game/interaction.c	interact_star_or_key	48
src/game/interaction.c	interact_igloo_barrier	24
src/game/interaction.c	interact_tornado	40
src/game/interaction.c	interact_strong_wind	32
src/game/interaction.c	interact_flame	32
src/game/interaction.c	interact_snufit_bullet	32
src/game/interaction.c	interact_clam_or_bubba	24
src/game/interaction.c	interact_bully	40
src/game/interaction.c	interact_shock	40
src/game/interaction.c	interact_mr_blizzard	24
src/game/interaction.c	interact_hit_from_below	40
src/game/interaction.c	interact_bounce_top	40
src/game/interaction.c	interact_unknown_08	24
src/game/interaction.c	interact_damage	24
src/game/interaction.c	interact_koopa_shell	32
src/game/interaction.c	check_object_grab_mario	32
src/game/interaction.c	interact_pole	40
src/game/interaction.c	interact_hoot	24
src/game/interaction.c	interact_grabbable	40
src/game/interaction.c	check_npc_talk	32
src/game/interaction.c	interact_text	32
src/game/interaction.c	mario_process_interactions	40
src/game/interaction.c	check_lava_boost	24
src/game/interaction.c	pss_end_slide	24
src/game/interaction.c	mario_handle_special_floors	40
src/game/level_geo.c	geo_envfx_main	104
src/game/level_update.c	init_mario_after_warp	40
src/game/level_update.c	warp_area	24
src/game/level_update.c	warp_level	24
src/game/level_update.c	warp_credits	40
src/game/level_update.c	check_instant_warp	40
src/game/level_update.c	basic_update	24
src/game/level_update.c	play_mode_normal	24
src/game/level_update.c	play_mode_frame_advance	24
src/game/level_update.c	play_mode_change_area	24
src/game/level_update.c	play_mode_change_level	24
src/game/level_update.c	update_level	32
src/game/level_update.c	init_level	40
src/game/level_update.c	lvl_init_or_update	24
src/game/macro_special_objects.c	spawn_macro_abs_yrot_2params	48
src/game/macro_special_objects.c	spawn_macro_abs_yrot_param1	48
src/game/macro_special_objects.c	spawn_macro_abs_special	48
src/game/macro_special_objects.c	spawn_macro_objects	104
src/game/macro_special_objects.c	spawn_macro_objects_hardcoded	72
src/game/macro_special_objects.c	spawn_special_objects	88
src/game/mario.c	find_floor_height_relative_polar	48
src/game/mario.c	find_floor_slope	64
src/game/mario.c	update_mario_sound_and_camera	32
src/game/mario.c	transition_submerged_to_walking	32
src/game/mario.c	set_water_plunge_action	32
src/game/mario.c	update_mario_geometry_inputs	64
src/game/mario.c	update_mario_inputs	32
src/game/mario.c	set_submerged_cam_preset_and_spawn_bubbles	32
src/game/mario.c	execute_mario_action	40
src/game/mario.c	init_mario	56
src/game/mario_actions_airborne.c	lava_boost_on_wall	32
src/game/mario_actions_airborne.c	common_air_action_step	40
src/game/mario_actions_airborne.c	act_jump	24
src/game/mario_actions_airborne.c	act_double_jump	32
src/game/mario_actions_airborne.c	act_triple_jump	24
src/game/mario_actions_airborne.c	act_backflip	24
src/game/mario_actions_airborne.c	act_freefall	32
src/game/mario_actions_airborne.c	act_hold_jump	24
src/game/mario_actions_airborne.c	act_hold_freefall	24
src/game/mario_actions_airborne.c	act_side_flip	24
src/game/mario_actions_airborne.c	act_wall_kick_air	24
src/game/mario_actions_airborne.c	act_long_jump	40
src/game/mario_actions_airborne.c	act_riding_shell_air	32
src/game/mario_actions_airborne.c	act_twirling	40
src/game/mario_actions_airborne.c	act_dive	32
src/game/mario_actions_airborne.c	act_air_throw	32
src/game/mario_actions_airborne.c	act_water_jump	32
src/game/mario_actions_airborne.c	act_hold_water_jump	32
src/game/mario_actions_airborne.c	act_steep_jump	32
src/game/mario_actions_airborne.c	act_ground_pound	32
src/game/mario_actions_airborne.c	act_burning_jump	32
src/game/mario_actions_airborne.c	act_burning_fall	32
