# kind	path	size	ROM location (MIO0 block offset and offset in it, or file offset)
texture	actors/exclamation_box_outline/exclamation_point.rgba16.inc.c	1024	[1888800, 154240]
texture	actors/explosion/explosion_0.rgba16.inc.c	2048	[1950768, 2568]
texture	actors/explosion/explosion_1.rgba16.inc.c	2048	[1950768, 4616]
texture	actors/explosion/explosion_2.rgba16.inc.c	2048	[1950768, 6664]
texture	actors/explosion/explosion_3.rgba16.inc.c	2048	[1950768, 8712]
texture	actors/explosion/explosion_4.rgba16.inc.c	2048	[1950768, 10760]
texture	actors/explosion/explosion_5.rgba16.inc.c	2048	[1950768, 12808]
texture	actors/explosion/explosion_6.rgba16.inc.c	2048	[1950768, 14856]
texture	actors/eyerok/eyerok_bricks.rgba16.inc.c	2048	[1183408, 36160]
texture	actors/eyerok/eyerok_eye_closed.rgba16.inc.c	2048	[1183408, 44352]
texture	actors/eyerok/eyerok_eye_mostly_closed.rgba16.inc.c	2048	[1183408, 42304]
texture	actors/eyerok/eyerok_eye_mostly_open.rgba16.inc.c	2048	[1183408, 40256]
texture	actors/eyerok/eyerok_eye_open.rgba16.inc.c	2048	[1183408, 38208]
texture	actors/flame/flame_0.ia16.inc.c	2048	[1950768, 95008]
texture	actors/flame/flame_1.ia16.inc.c	2048	[1950768, 97056]
texture	actors/flame/flame_2.ia16.inc.c	2048	[1950768, 99104]
texture	actors/flame/flame_3.ia16.inc.c	2048	[1950768, 101152]
texture	actors/flame/flame_4.ia16.inc.c	2048	[1950768, 103200]
texture	actors/flame/flame_5.ia16.inc.c	2048	[1950768, 105248]
texture	actors/flame/flame_6.ia16.inc.c	2048	[1950768, 107296]
texture	actors/flame/flame_7.ia16.inc.c	2048	[1950768, 109344]
texture	actors/flyguy/flyguy_cloth_wrinkle.rgba16.inc.c	4096	[1888800, 57480]
texture	actors/flyguy/flyguy_face.rgba16.inc.c	2048	[1888800, 61576]
texture	actors/flyguy/flyguy_propeller.ia16.inc.c	2048	[1888800, 63624]
texture	actors/fwoosh/fwoosh_face.ia16.inc.c	2048	[1233392, 88072]
texture	actors/goomba/goomba_body.rgba16.inc.c	2048	[1888800, 103728]
texture	actors/goomba/goomba_face.rgba16.inc.c	2048	[1888800, 105776]
texture	actors/goomba/goomba_face_blink.rgba16.inc.c	2048	[1888800, 107824]
texture	actors/haunted_cage/bbh_cage_bars.rgba16.inc.c	2048	[1318016, 55944]
texture	actors/haunted_cage/bbh_cage_double_ornament.rgba16.inc.c	2048	[1318016, 51848]
texture	actors/haunted_cage/bbh_cage_floor.rgba16.inc.c	2048	[1318016, 49800]
texture	actors/haunted_cage/bbh_cage_garbage.rgba16.inc.c	2048	[1318016, 57992]
texture	actors/haunted_cage/bbh_cage_ornament.rgba16.inc.c	1024	[1318016, 53896]
texture	actors/haunted_cage/bbh_cage_wooden_base.rgba16.inc.c	1024	[1318016, 54920]
texture	actors/heart/spinning_heart.rgba16.inc.c	2048	[1888800, 55264]
texture	actors/heave_ho/heave-ho_arm_ornament.rgba16.inc.c	2048	[1071104, 68040]
texture	actors/heave_ho/heave-ho_face.rgba16.inc.c	2048	[1071104, 59848]
texture	actors/heave_ho/heave-ho_logo.rgba16.inc.c	4096	[1071104, 63944]
texture	actors/heave_ho/heave-ho_platform.rgba16.inc.c	2048	[1071104, 61896]
texture	actors/heave_ho/heave-ho_roller.rgba16.inc.c	512	[1071104, 70088]
texture	actors/heave_ho/heave-ho_turnkey.rgba16.inc.c	2048	[1071104, 70600]
texture	actors/hoot/hoot_eyes.rgba16.inc.c	2048	[1071104, 2592]
texture	actors/hoot/hoot_wing.rgba16.inc.c	2048	[1071104, 7760]
texture	actors/hoot/hoot_wing_tip.rgba16.inc.c	2048	[1071104, 9808]
texture	actors/impact_ring/impact_ring_left_side.ia16.inc.c	4096	[1455200, 117328]
texture	actors/impact_ring/impact_ring_right_side.ia16.inc.c	4096	[1455200, 121424]
texture	actors/impact_smoke/impact_smoke_0.ia16.inc.c	8192	[1455200, 371576]
texture	actors/impact_smoke/impact_smoke_1.ia16.inc.c	8192	[1455200, 379768]
texture	actors/impact_smoke/impact_smoke_2.ia16.inc.c	8192	[1455200, 387960]
texture	actors/impact_smoke/impact_smoke_3.ia16.inc.c	8192	[1455200, 396152]
texture	actors/king_bobomb/bob-omb_buddy_body_unused.rgba16.inc.c	8192	[1113408, 25720]
texture	actors/king_bobomb/bob-omb_buddy_left_side_unused.rgba16.inc.c	4096	[1113408, 120]
texture	actors/king_bobomb/bob-omb_buddy_right_side_unused.rgba16.inc.c	4096	[1113408, 4216]
texture	actors/king_bobomb/king_bob-omb_arm.rgba16.inc.c	2048	[1113408, 8312]
texture	actors/king_bobomb/king_bob-omb_body_unused.rgba16.inc.c	8192	[1113408, 10360]
texture	actors/king_bobomb/king_bob-omb_crown_rim.rgba16.inc.c	1024	[1113408, 24696]
texture	actors/king_bobomb/king_bob-omb_eyes.rgba16.inc.c	2048	[1113408, 18552]
texture	actors/king_bobomb/king_bob-omb_eyes_blink.rgba16.inc.c	2048	[1113408, 20600]
texture	actors/king_bobomb/king_bob-omb_hand.rgba16.inc.c	2048	[1113408, 22648]
texture	actors/king_bobomb/king_bob-omb_left_side.rgba16.inc.c	4096	[1113408, 33912]
texture	actors/king_bobomb/king_bob-omb_right_side.rgba16.inc.c	4096	[1113408, 38008]
texture	actors/klepto/klepto_beak.rgba16.inc.c	4096	[1183408, 4104]
texture	actors/klepto/klepto_chest_tuft.rgba16.inc.c	2048	[1183408, 8]
texture	actors/klepto/klepto_eye.rgba16.inc.c	2048	[1183408, 2056]
texture	actors/klepto/klepto_wing.rgba16.inc.c	4096	[1183408, 8200]
texture	actors/klepto/klepto_wing_flap.rgba16.inc.c	2048	[1183408, 12296]
texture	actors/koopa/koopa_eye_border.rgba16.inc.c	2048	[1700432, 22088]
texture	actors/koopa/koopa_eyes_closed.rgba16.inc.c	2048	[1700432, 20040]
texture	actors/koopa/koopa_eyes_open.rgba16.inc.c	2048	[1700432, 17992]
texture	actors/koopa/koopa_nostrils.rgba16.inc.c	4096	[1700432, 24136]
texture	actors/koopa/koopa_shell_back.rgba16.inc.c	2048	[1700432, 11848]
texture	actors/koopa/koopa_shell_front.rgba16.inc.c	2048	[1700432, 9800]
texture	actors/koopa/koopa_shell_front_top.rgba16.inc.c	2048	[1700432, 15944]
texture	actors/koopa/koopa_shoe.rgba16.inc.c	2048	[1700432, 13896]
texture	actors/koopa_flag/koopa_flag_banner.rgba16.inc.c	2048	[1700432, 72]
texture	actors/koopa_shell/koopa_shell_back.rgba16.inc.c	2048	[1700432, 11848]
texture	actors/koopa_shell/koopa_shell_front.rgba16.inc.c	2048	[1700432, 9800]
texture	actors/lakitu_cameraman/lakitu_camera_lens.rgba16.inc.c	512	[1782576, 14336]
texture	actors/lakitu_cameraman/lakitu_cameraman_cloud_face_unused.rgba16.inc.c	2048	[1424336, 60640]
texture	actors/lakitu_cameraman/lakitu_cameraman_eyes_closed.rgba16.inc.c	4096	[1424336, 66784]
texture	actors/lakitu_cameraman/lakitu_cameraman_eyes_open.rgba16.inc.c	4096	[1424336, 62688]
texture	actors/lakitu_cameraman/lakitu_cameraman_frown.rgba16.inc.c	2048	[1424336, 72928]
texture	actors/lakitu_cameraman/lakitu_cameraman_shell.rgba16.inc.c	2048	[1424336, 70880]
texture	actors/lakitu_enemy/lakitu_enemy_cloud_face_unused.rgba16.inc.c	2048	[1424336, 60640]
texture	actors/lakitu_enemy/lakitu_enemy_eyes_closed.rgba16.inc.c	4096	[1424336, 66784]
texture	actors/lakitu_enemy/lakitu_enemy_eyes_open.rgba16.inc.c	4096	[1424336, 62688]
texture	actors/lakitu_enemy/lakitu_enemy_frown.rgba16.inc.c	2048	[1424336, 72928]
texture	actors/lakitu_enemy/lakitu_enemy_shell.rgba16.inc.c	2048	[1424336, 70880]
texture	actors/leaves/leaf.rgba16.inc.c	512	[1950768, 117728]
texture	actors/mad_piano/mad_piano_body.rgba16.inc.c	1024	[1318016, 29424]
texture	actors/mad_piano/mad_piano_keys.rgba16.inc.c	1024	[1318016, 32496]
texture	actors/mad_piano/mad_piano_keys_corner.rgba16.inc.c	1024	[1318016, 30448]
texture	actors/mad_piano/mad_piano_keys_edge.rgba16.inc.c	1024	[1318016, 33520]
texture	actors/mad_piano/mad_piano_mouth.rgba16.inc.c	1024	[1318016, 31472]
texture	actors/mad_piano/mad_piano_tooth.rgba16.inc.c	2048	[1318016, 27376]
texture	actors/manta/manta_eye.rgba16.inc.c	2048	[1141040, 12192]
texture	actors/manta/manta_fin_corner.rgba16.inc.c	2048	[1141040, 6048]
texture	actors/manta/manta_fin_edge.rgba16.inc.c	4096	[1141040, 14240]
texture	actors/manta/manta_gills.rgba16.inc.c	4096	[1141040, 8096]
texture	actors/mario/mario_eyes_center.rgba16.inc.c	2048	[980848, 12432]
texture	actors/mario/mario_eyes_closed.rgba16.inc.c	2048	[980848, 16528]
texture	actors/mario/mario_eyes_closed_unused_0.rgba16.inc.c	2048	[980848, 16528]
texture	actors/mario/mario_eyes_closed_unused_1.rgba16.inc.c	2048	[980848, 16528]
texture	actors/mario/mario_eyes_dead.rgba16.inc.c	2048	[980848, 30864]
texture	actors/mario/mario_eyes_down_unused.rgba16.inc.c	2048	[980848, 28816]
texture	actors/mario/mario_eyes_half_closed.rgba16.inc.c	2048	[980848, 14480]
texture	actors/mario/mario_eyes_left_unused.rgba16.inc.c	2048	[980848, 22672]
texture	actors/mario/mario_eyes_right_unused.rgba16.inc.c	2048	[980848, 24720]
texture	actors/mario/mario_eyes_up_unused.rgba16.inc.c	2048	[980848, 26768]
texture	actors/mario/mario_logo.rgba16.inc.c	2048	[980848, 6288]
texture	actors/mario/mario_metal.rgba16.inc.c	4096	[980848, 144]
texture	actors/mario/mario_metal_wing_tip_unused.rgba16.inc.c	4096	[980848, 45200]
texture	actors/mario/mario_metal_wing_unused.rgba16.inc.c	4096	[980848, 41104]
texture	actors/mario/mario_mustache.rgba16.inc.c	2048	[980848, 10384]
texture	actors/mario/mario_overalls_button.rgba16.inc.c	2048	[980848, 4240]
texture	actors/mario/mario_sideburn.rgba16.inc.c	2048	[980848, 8336]
texture	actors/mario/mario_wing.rgba16.inc.c	4096	[980848, 32912]
texture	actors/mario/mario_wing_tip.rgba16.inc.c	4096	[980848, 37008]
texture	actors/mario_cap/mario_cap_logo.rgba16.inc.c	2048	[980848, 6288]
texture	actors/mario_cap/mario_cap_metal.rgba16.inc.c	4096	[980848, 144]
texture	actors/mario_cap/mario_cap_metal_wing_tip_unused.rgba16.inc.c	4096	[980848, 45200]
texture	actors/mario_cap/mario_cap_metal_wing_unused.rgba16.inc.c	4096	[980848, 41104]
texture	actors/mario_cap/mario_cap_wing.rgba16.inc.c	4096	[980848, 32912]
texture	actors/mario_cap/mario_cap_wing_tip.rgba16.inc.c	4096	[980848, 37008]
texture	actors/metal_box/metal_box_side.rgba16.inc.c	4096	[1888800, 145816]
texture	actors/mips/mips_eyes.rgba16.inc.c	2048	[1782576, 64624]
texture	actors/mist/mist.ia16.inc.c	2048	[1950768, 128]
texture	actors/moneybag/moneybag_eyes.rgba16.inc.c	2048	[1835536, 18864]
texture	actors/moneybag/moneybag_mouth.rgba16.inc.c	4096	[1835536, 14768]
texture	actors/monty_mole/monty_mole_cheek.rgba16.inc.c	2048	[1233392, 2416]
texture	actors/monty_mole/monty_mole_claw.rgba16.inc.c	2048	[1233392, 10608]
texture	actors/monty_mole/monty_mole_eye.rgba16.inc.c	2048	[1233392, 4464]
texture	actors/monty_mole/monty_mole_nose.rgba16.inc.c	2048	[1233392, 6512]
texture	actors/monty_mole/monty_mole_tooth.rgba16.inc.c	2048	[1233392, 8560]
texture	actors/monty_mole_hole/monty_mole_hole.ia16.inc.c	2048	[1233392, 64]
texture	actors/mr_i_eyeball/mr_i_eyeball_left_side.rgba16.inc.c	4096	[1847040, 128]
texture	actors/mr_i_eyeball/mr_i_eyeball_right_side.rgba16.inc.c	4096	[1847040, 4224]
texture	actors/mr_i_iris/mr_i_iris_closed.rgba16.inc.c	2048	[1847040, 14704]
texture	actors/mr_i_iris/mr_i_iris_mostly_closed.rgba16.inc.c	2048	[1847040, 12656]
texture	actors/mr_i_iris/mr_i_iris_mostly_open.rgba16.inc.c	2048	[1847040, 10608]
texture	actors/mr_i_iris/mr_i_iris_open.rgba16.inc.c	2048	[1847040, 8560]
texture	actors/mushroom_1up/1-up_mushroom.rgba16.inc.c	4096	[1950768, 169512]
texture	actors/peach/peach_chest_jewel.rgba16.inc.c	512	[1345680, 11304]
texture	actors/peach/peach_crown_jewel.rgba16.inc.c	512	[1345680, 10792]
texture	actors/peach/peach_dress.rgba16.inc.c	2048	[1345680, 16424]
texture	actors/peach/peach_eye_closed.rgba16.inc.c	2048	[1345680, 8744]
texture	actors/peach/peach_eye_mostly_closed.rgba16.inc.c	2048	[1345680, 6696]
texture	actors/peach/peach_eye_mostly_open.rgba16.inc.c	2048	[1345680, 4648]
texture	actors/peach/peach_eye_open.rgba16.inc.c	2048	[1345680, 2600]
texture	actors/peach/peach_lips.rgba16.inc.c	2048	[1345680, 13864]
texture	actors/peach/peach_lips_scrunched.rgba16.inc.c	2048	[1345680, 11816]
texture	actors/peach/peach_nostril.rgba16.inc.c	512	[1345680, 15912]
texture	actors/pebble/pebble.rgba16.inc.c	2048	[1950768, 115456]
texture	actors/penguin/penguin_beak.rgba16.inc.c	2048	[1291920, 21984]
texture	actors/penguin/penguin_eye_angry.rgba16.inc.c	2048	[1291920, 17888]
texture	actors/penguin/penguin_eye_angry_unused.rgba16.inc.c	2048	[1291920, 19936]
texture	actors/penguin/penguin_eye_closed.rgba16.inc.c	2048	[1291920, 15840]
texture	actors/penguin/penguin_eye_half_closed.rgba16.inc.c	2048	[1291920, 13792]
texture	actors/penguin/penguin_eye_open.rgba16.inc.c	2048	[1291920, 11744]
